id,chat_id,msg_idx,label,window_text
u02525,chat_00315,12,Cotizando,"<USR> hola! tienen disponibilidad para la semana? <SYS> Falta hora, si hay regreso, por favor. <USR> ida y vuelta <SYS> Falta hora de regreso, fecha, por favor. <USR> somos 8 personas"
u04478,chat_00559,13,Cotización generada,"<SYS> Falta fecha, destino, por favor. <USR> destino Prat 2362, Santiago <SYS> Falta hora de regreso, fecha, por favor. <USR> el 27/05/2025 <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> regreso a las 20:00 <SYS> Falta cantidad de personas, por favor. <USR> somos 3 personas"
u01383,chat_00172,6,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta hora de regreso, origen, por favor. <USR> a las 13:45 <USR> regreso a las 11:30"
u01498,chat_00187,9,Cotizando,"<USR> buenos dias, necesito hablar con un asesor <SYS> Falta hora, origen, por favor. <USR> el 20/09/2025 <SYS> Falta origen, si hay regreso, por favor. <USR> a las 11:00 <SYS> Falta destino, origen, por favor. <USR> origen Nueva Imperial 2947, Antofagasta"
u01838,chat_00229,13,Cotizando,"<SYS> Falta destino, cantidad de personas, por favor. <USR> origen Vicuña Mackenna 4127, Temuco <SYS> Falta si hay regreso, fecha, por favor. <USR> destino Prat 1152, Valparaíso <SYS> Falta fecha, hora de regreso, por favor. <USR> el 03/06/2025 <USR> solo ida <SYS> Falta hora de regreso, cantidad de personas, por favor. <USR> somos 2 personas"
u00982,chat_00122,5,Cotizando,"<SYS> Falta si hay regreso, hora de regreso, por favor. <USR> el 29/12/2025 <SYS> Falta si hay regreso, hora, por favor. <USR> destino 1 norte 3765, La Serena <SYS> Falta si hay regreso, origen, por favor. <USR> a las 18:30 <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> origen Pedro de Valdivia 908, Temuco <USR> regreso a las 12:45"
u03435,chat_00429,10,Cotización generada,"<SYS> Falta cantidad de personas, destino, por favor. <USR> a las 09:15 <USR> regreso a las 15:15 <SYS> Falta destino, cantidad de personas, por favor. <USR> destino Pedro de Valdivia 2703, Talca <SYS> Falta cantidad de personas, origen, por favor. <USR> somos 3 personas <SYS> Falta origen, por favor. <USR> origen Nueva Imperial 4752, Puerto Montt"
u01000,chat_00124,7,Cotizando,"<SYS> Falta cantidad de personas, fecha, por favor. <USR> a las 14:45 <SYS> Falta hora de regreso, fecha, por favor. <USR> somos 12 personas <SYS> Falta hora de regreso, si hay regreso, por favor. <USR> el 30/06/2025 <SYS> Falta destino, si hay regreso, por favor. <USR> regreso a las 10:00"
u02872,chat_00358,7,Cotizando,"<USR> consulta, hacen viajes privados? 🙂 <SYS> Falta cantidad de personas, hora, por favor. <USR> origen Alameda 2594, Santiago <USR> ida y vuelta <SYS> Falta hora de regreso, hora, por favor. <USR> a las 08:30 <SYS> Falta fecha, destino, por favor. <USR> el 19/09/2025"
u01288,chat_00160,7,Cotizando,"<USR> necesito una cotizacion <SYS> Falta destino, fecha, por favor. <USR> origen Los Leones 3461, Talca <USR> regreso a las 19:15"
u02100,chat_00262,3,Cotizando,"<USR> consulta, hacen viajes privados? <SYS> Falta cantidad de personas, hora de regreso, por favor. <USR> a las 16:30 <SYS> Falta hora de regreso, destino, por favor. <USR> somos 6 personas <SYS> Falta destino, fecha, por favor. <USR> regreso a las 09:45"
